Rank,Movie Title,Year,Score,Director,Cast,Critics Consensus
1,His House,2020,100,Remi Weekes,"Wunmi Mosaku, Sope Dirisu, Matt Smith, Cornell John","Featuring genuine scares through every corridor, His House is a terrifying look at the specters of the refugee experience and a stunning feature debut for Remi Weekes."
2,How to Train Your Dragon,2010,99,Christopher Sanders,"Jay Baruchel, Gerard Butler, America Ferrera, Jonah Hill","Boasting dazzling animation, a script with surprising dramatic depth, and thrilling 3-D sequences, How to Train Your Dragon soars."
3,The Forty-Year-Old Version,2020,99,Radha Blank,"Welker White, Reed Birney, Radha Blank, Peter Kim",The Forty-Year-Old Version opens a compelling window into the ebbs and flows of the artist's life -- and announces writer-director-star Radha Blank as a major filmmaking talent with her feature debut.
4,Under the Shadow,2016,99,Babak Anvari,"Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian",Under the Shadow deftly blends seemingly disparate genres to deliver an effective chiller with timely themes and thought-provoking social subtext.
5,Monty Python and the Holy Grail,1975,98,Terry Gilliam,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle","A cult classic as gut-bustingly hilarious as it is blithely ridiculous, Monty Python and the Holy Grail has lost none of its exceedingly silly charm."
6,Ma Rainey's Black Bottom,2020,97,George C. Wolfe,"Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo","Framed by a pair of powerhouse performances, Ma Rainey's Black Bottom pays affectionate tribute to a blues legend -- and Black culture at large."
7,The Hurt Locker,2008,97,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce","A well-acted, intensely shot, action filled war epic, Kathryn Bigelow's The Hurt Locker is thus far the best of the recent dramatizations of the Iraq War."
8,Hell or High Water,2016,97,David Mackenzie,"Jeff Bridges, Chris Pine, Ben Foster, Gil Birmingham","Hell or High Water offers a solidly crafted, well-acted Western heist thriller that eschews mindless gunplay in favor of confident pacing and full-bodied characters."
9,Won't You Be My Neighbor?,2018,97,Morgan Neville,"Joanne Rogers, Bill Isler, Hedda Sharapan, Margaret Whitmer",Won't You Be My Neighbor? takes a fittingly patient and honest look at the life and legacy of a television pioneer whose work has enriched generations.
10,Dolemite Is My Name,2019,97,Craig Brewer,"Eddie Murphy, Wesley Snipes, Kodi Smit-McPhee, Keegan-Michael Key","In dramatizing Rudy Ray Moore's stranger-than-fiction story, Eddie Murphy makes Dolemite Is My Name just as bold, brash, and ultimately hard to resist as its subject."
11,Hunt for the Wilderpeople,2016,97,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House","The charmingly offbeat Hunt for the Wilderpeople unites a solid cast, a talented filmmaker, and a poignant, funny, deeply affecting message."
12,Mudbound,2017,97,Dee Rees,"Carey Mulligan, Jason Clarke, Jason Mitchell, Mary J. Blige","Mudbound offers a well-acted, finely detailed snapshot of American history whose scenes of rural class struggle resonate far beyond their period setting."
13,I Lost My Body,2019,97,Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Belek Abdelmalek","Beautifully animated and utterly unique, I Lost My Body takes audiences on a singularly strange journey whose unexpected contours lead to a wholly satisfying destination."
